 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
33.02604,10.3386,10.3242,10.3346,10.3315,10.3280,10.3227,10.3050,10.3281,10.3466,10.3235
33.03645,10.3410,10.3265,10.3370,10.3338,10.3303,10.3250,10.3072,10.3304,10.3490,10.3259
33.04687,10.3438,10.3294,10.3399,10.3367,10.3332,10.3279,10.3099,10.3333,10.3518,10.3287
33.05729,10.3459,10.3315,10.3420,10.3388,10.3353,10.3300,10.3119,10.3355,10.3539,10.3309
33.06770,10.3472,10.3328,10.3433,10.3401,10.3366,10.3313,10.3131,10.3367,10.3551,10.3321
33.07812,10.3479,10.3336,10.3441,10.3409,10.3374,10.3322,10.3140,10.3376,10.3558,10.3330
33.08854,10.3508,10.3366,10.3470,10.3438,10.3404,10.3351,10.3170,10.3405,10.3586,10.3360
33.09895,10.3584,10.3444,10.3546,10.3515,10.3481,10.3429,10.3248,10.3482,10.3661,10.3437
33.10937,10.3689,10.3550,10.3652,10.3621,10.3587,10.3535,10.3355,10.3588,10.3765,10.3544
33.11979,10.3800,10.3662,10.3763,10.3733,10.3699,10.3648,10.3469,10.3700,10.3875,10.3656
33.13020,10.3895,10.3759,10.3858,10.3828,10.3795,10.3745,10.3567,10.3796,10.3969,10.3753
33.14062,10.3948,10.3814,10.3912,10.3882,10.3849,10.3800,10.3623,10.3851,10.4020,10.3808
33.15104,10.3977,10.3844,10.3941,10.3912,10.3880,10.3831,10.3656,10.3881,10.4048,10.3838
33.16145,10.4003,10.3873,10.3968,10.3940,10.3908,10.3859,10.3687,10.3909,10.4073,10.3867
33.17187,10.4027,10.3899,10.3993,10.3965,10.3933,10.3886,10.3715,10.3935,10.4095,10.3893
33.18229,10.4047,10.3922,10.4014,10.3986,10.3956,10.3909,10.3741,10.3957,10.4114,10.3916
33.19270,10.4065,10.3942,10.4033,10.4005,10.3975,10.3929,10.3764,10.3977,10.4131,10.3937
33.20312,10.4081,10.3961,10.4049,10.4023,10.3993,10.3948,10.3786,10.3994,10.4146,10.3956
33.21354,10.4073,10.3955,10.4042,10.4016,10.3987,10.3943,10.3783,10.3988,10.4136,10.3950
33.22395,10.4016,10.3901,10.3985,10.3960,10.3932,10.3889,10.3732,10.3933,10.4077,10.3896
33.23437,10.3929,10.3816,10.3899,10.3874,10.3847,10.3804,10.3651,10.3848,10.3988,10.3811
33.24479,10.3834,10.3724,10.3805,10.3780,10.3754,10.3712,10.3562,10.3755,10.3892,10.3719
33.25520,10.3753,10.3646,10.3725,10.3701,10.3675,10.3634,10.3487,10.3676,10.3810,10.3641
33.26562,10.3712,10.3607,10.3685,10.3661,10.3636,10.3596,10.3452,10.3637,10.3768,10.3603
33.27604,10.3694,10.3592,10.3667,10.3645,10.3620,10.3581,10.3440,10.3621,10.3748,10.3587
33.28645,10.3677,10.3578,10.3651,10.3629,10.3605,10.3567,10.3429,10.3606,10.3730,10.3573
33.29687,10.3685,10.3588,10.3660,10.3639,10.3615,10.3578,10.3443,10.3616,10.3737,10.3584
33.30729,10.3744,10.3650,10.3720,10.3699,10.3676,10.3640,10.3508,10.3676,10.3794,10.3646
33.31770,10.3834,10.3741,10.3810,10.3789,10.3767,10.3732,10.3603,10.3768,10.3883,10.3738
33.32812,10.3931,10.3840,10.3907,10.3887,10.3865,10.3831,10.3705,10.3866,10.3978,10.3836
33.33854,10.4785,10.4697,10.4762,10.4743,10.4721,10.4688,10.4564,10.4722,10.4831,10.4693
33.34895,10.6472,10.6386,10.6450,10.6430,10.6409,10.6377,10.6255,10.6410,10.6517,10.6382
33.35937,10.7482,10.7397,10.7460,10.7442,10.7421,10.7389,10.7268,10.7422,10.7527,10.7394
33.36979,10.7743,10.7659,10.7721,10.7703,10.7682,10.7650,10.7531,10.7683,10.7787,10.7655
33.38020,10.8113,10.8029,10.8091,10.8073,10.8052,10.8021,10.7902,10.8053,10.8157,10.8026
33.39062,10.8607,10.8524,10.8585,10.8567,10.8547,10.8515,10.8396,10.8547,10.8650,10.8520
33.40104,10.9113,10.9031,10.9092,10.9073,10.9053,10.9022,10.8904,10.9054,10.9156,10.9027
33.41145,10.9620,10.9539,10.9600,10.9581,10.9561,10.9530,10.9413,10.9562,10.9663,10.9535
33.42187,11.0136,11.0055,11.0115,11.0097,11.0078,11.0047,10.9930,11.0078,11.0178,11.0052
33.43229,11.0645,11.0565,11.0625,11.0607,11.0587,11.0557,11.0440,11.0588,11.0686,11.0562
33.44270,11.1145,11.1066,11.1125,11.1107,11.1088,11.1057,11.0942,11.1088,11.1186,11.1062
33.45312,11.1652,11.1573,11.1632,11.1614,11.1595,11.1565,11.1450,11.1596,11.1692,11.1570
33.46354,11.2150,11.2072,11.2130,11.2113,11.2094,11.2064,11.1950,11.2094,11.2190,11.2069
33.47395,11.2598,11.2520,11.2578,11.2561,11.2542,11.2512,11.2399,11.2543,11.2638,11.2517
33.48437,11.3004,11.2927,11.2984,11.2967,11.2948,11.2918,11.2805,11.2949,11.3044,11.2923
